ID,UNIQUE_ID,Interaction_ID,ID1,EVENT_MASTER,GROUPED_ID,BAR_ID,SOURCE_ID,DATE,DYAD_CODE,BCode,NUMBER_OF_BASINS,LOCATION,CCODE1,CCODE2,IRM1,IRM2,BCCODE1,BCCODE2,COUNTRY_LIST,NUMBER_OF_Countries,COPDAB_SCALE,BAR_Scale,EVENT_TYPE,EVENT_SUMMARY,Issue_Type1,Issue_Type2,Macro_Event,Comments,SOURCE,Source_Source,KLL_Categ,FBIS_Region,DOC_DATE,EVENT_ISSUE,KLL_ISSUE_NUMBER
46,11,1,47,48,C8,C8,431036,1/18/1949,CHN_INT,NITL,0,n/a,CHN,INT,M,M,NITL_CHN,NITL_INT,China (internal),1,13,-5,n/a-not international basin,China plans to defent Yangtze River n bank by Government,0,0,Yangtze River,,COPDAB,New York Times,,,,,
163,98,1,243,170,C73,C73,333919,2/17/1953,LBN_USA,NITL,0,LITANI?,LBN,USA,I,R,NITL_LBN,NITL_USA,Lebanon--United States,2,4,4,n/a-not international basin,Lebanon and United States agree tech help and hydroelectric power pact,11,3,,Lebanon/US,COPDAB,Arab World,,,,,
164,99,1,244,171,C74,C74,333920,2/25/1953,LBN_USA,NITL,0,LITANI,LBN,USA,I,R,NITL_LBN,NITL_USA,Lebanon--United States,2,5,3,n/a-not international basin,Lebanon and United States agree preparatory survey of Litani River development,11,0,Litani River,Lebanon/US,COPDAB,Middle Eastern Affairs,,,,,
165,100,1,245,172,C75,C75,334255,3/14/1953,LBN_INT,NITL,0,LITANI?,LBN,INT,M,M,NITL_LBN,NITL_INT,Lebanon (internal),1,5,3,n/a-internal,Lebanon announces TO 4  allocations for four years of  irrigation,9,0,,internal,COPDAB,Arab World,,,,,
212,139,1,294,221,C111,C111,334288,11/25/1953,LBN_INT,NITL,0,LITANI,LBN,INT,M,M,NITL_LBN,NITL_INT,Lebanon (internal),1,5,3,n/a-internal,Lebanon announces to  Litani R hydroelectric plant complete,3,0,Litani River,,COPDAB,Arab World,,,,,
213,140,1,293,220,C112,C112,338156,11/25/1953,ISR_LBN,NITL,0,LITANI,ISR,LBN,I,R,NITL_ISR,NITL_LBN,Lebanon--Israel,2,8,0,n/a-not international basin,Lebanon completes to Israel arrangements for Litani River scheme,0,0,Litani River,,COPDAB,Middle East Journal,,,,,
247,164,1,328,255,C135,C135,390980,3/30/1954,IND_USA,NITL,0,Mahanadi Basin,IND,USA,I,R,NITL_IND,NITL_USA,India--United States,2,4,4,n/a-not international basin,India and United States agree $11M Rihand River Valley project,10,0,,,COPDAB,Keesing's Contemporary Archives,,,,,
268,182,1,360,287,C154,C154,19112,7/9/1954,LBN_USA,NITL,0,LITANI,LBN,USA,R,I,NITL_LBN,NITL_USA,Lebanon--United States,2,7,1,n/a-not international basin,United States submits to Lebanon US aid plan to develop Litani River,10,0,Litani River,,COPDAB,Middle Eastern Affairs,,,,,
278,191,1,370,297,C162,C162,19113,8/24/1954,LBN_USA,NITL,0,LITANI,LBN,USA,R,I,NITL_LBN,NITL_USA,Lebanon--United States,2,10,-2,n/a-not international basin,United States refuses to Lebanon US will not underwrite Litani River project,10,0,Litani River,,COPDAB,Middle Eastern Affairs,,,,,
351,243,1,445,372,C201,C201,282379,9/6/1955,DZA_FRA,NITL,0,"coast of Algeria, near Tunisia border",DZA,FRA,I,R,NITL_DZA,NITL_FRA,Algeria--France,2,13,-5,n/a-weapon/target,Algeria cuts France rebels cut off water supply at Philippeville,2,0,,"Algeria/Francence - Skidkda on coast between alger/tunisia Medjerda basin, but town doesn't appear to be in that basin",COPDAB,New York Times,,,,,
