BCCODE,CCODE,RBO,RIV,RIV_NAME,RBO_NAME,AGREEMENT_NAME,AGREEMENT_DATE,Continent,RIP_NAMES,RIP_NO,MEMB_NAMES,MEMB_NO,LATERALITY,INCLUSIVENESS,ISSUES_NAMES,ISSUE_TYPES,ISSUE_NO,ISSUE_SCOPE,ISSUE_BROAD,WAT_LAW_REF,WAT_LAW_PRINC,LEG_PERS,ORG_TYPE,ORG_BOD_NAMES,ORG_BOD_TYPES,ORG_BOD_NO,ORG_BOD_QUAN,SEC_EX,SEC_FUNC_NAMES,SEC_FUNC_CLASS,SEC_FUNC_NO,SEC_FUNC_QUAN,DEC_MAK_SPEC,DEC_MAK_NAMES,DEC_MAK_MEC,DEC_MAK_BIND,INF_SHAR_EX,INF_SHAR_MEC,INF_SHAR_ISSUE,INF_SHAR_LEV,INF_SHAR_RIV,DISP_RES_EX,DISP_RES_MEC,DISP_RES_TYPE_1,DISP_RES_TYPE_2,DISP_RES_LEV_1,DISP_RES_LEV_2,MON_EX,MON_MEC,MON_ISSUE,MON_SCOPE,MON_LEV,ADAP_EX,ADAP_MEC,FUND_SPEC,FUND_MEC,BUD_MEC,CST_SHAR_EX,CST_SHAR_MEC,CST_SHAR_TYPE,DON_INV_EX,DON_ID,BEN_SHAR_EX,BEN_SHAR_MEC,PUB_PART_EX,PUB_PART_MEC,PUB_PART_TYPE,EX_COOP_EX,EX_COOP_MEC,EX_COOP_PART,,Websites,,,,
VOLT_BFA,BFA,ALGX,VOLT,Volta,Autorité de Développement Integré de la Région du Liptako-Gourma,Protocol of Agreement concerning the establishment of the Authority for the Integrated Development of the Liptako-Gourma Region (Protocole d’Accord portant création de l’Autorité de Développement Intégré de la Région du Liptako-Gourma),1970,Africa,Burkina Faso; Mali; Niger,3,Burkina Faso; Mali; Niger,3,Multilateral,Inclusive,"promote development of mineral, energy, hydrological, agricultural and water resources in Liptako-Gourma Region; agriculture and food security; environmental protection; fisheries; hydropower; drought management and protection; drinking water; industry and mining development; social policy",FISH; AGRI; ENVP; DRIN; DMGT; HYDR; COMM; IND; MIN; SOCD,10,MUL,TBR,no,n/a,yes,Authority,Conférence des Chefs d'Etat; Conseil des Ministres; Direction Générale; Comités Techniques Sectoriels; Comités Nationaux de Suivi des Activités de l'Autorité,MHS; CON; SEC; WEG; NAC,5,MUL,yes,"information/data collection and centralization of data resources; harmonization and integration of programs and projects; research on industrial and mining development, agriculture and fisheries, socioeconomic development",DATA; COOR; IMPL; PROP,4,FEW,yes,Conseil decisions are taken unanimously; requires the presence of all members ,UNA,.,yes,"Direction Generale is in charge of synthesizing all information and disseminating it in the basin; Direction Generale contributes to research on industrial development, human resources development, health, education and agriculture",AGRI; HEAL; HRDV; MIN; IND,INS,BRV,no,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,yes,protocol can be amended or revised based on written demand by member to General Director by Conférence des Chefs d'Etat and ratification by all member states,yes,"resources of ALG include member contributions, grants, subsidees, income, loans",budget and member contributions are set by Conseil des Ministres; budget is executed by General Director,yes,contributions from member states are equally shared ,EQL,yes,"Canada, France, AfDB, Banque Arabe pour le développement économique en Afrique, Islamic Development Bank, Banque Ouest Africaine de Développement, Belgium, Denmark, France, Italy, FAO, FED, USAid",.,.,no,n/a,n/a,yes,"partnership with IUCN and various UN institutions, but not officially specified/no specific mechanisms; also participation in regional organizations (CEDEAO, UEMOA)",CEDEAO; IUCN; UEMOA,,http://liptakogourma.org/spip.php?rubrique1 ,,,,
VOLT_MLI,MLI,ALGX,VOLT,Volta,Autorité de Développement Integré de la Région du Liptako-Gourma,Protocol of Agreement concerning the establishment of the Authority for the Integrated Development of the Liptako-Gourma Region (Protocole d’Accord portant création de l’Autorité de Développement Intégré de la Région du Liptako-Gourma),1970,Africa,Burkina Faso; Mali; Niger,3,Burkina Faso; Mali; Niger,3,Multilateral,Inclusive,"promote development of mineral, energy, hydrological, agricultural and water resources in Liptako-Gourma Region; agriculture and food security; environmental protection; fisheries; hydropower; drought management and protection; drinking water; industry and mining development; social policy",FISH; AGRI; ENVP; DRIN; DMGT; HYDR; COMM; IND; MIN; SOCD,10,MUL,TBR,no,n/a,yes,Authority,Conférence des Chefs d'Etat; Conseil des Ministres; Direction Générale; Comités Techniques Sectoriels; Comités Nationaux de Suivi des Activités de l'Autorité,MHS; CON; SEC; WEG; NAC,5,MUL,yes,"information/data collection and centralization of data resources; harmonization and integration of programs and projects; research on industrial and mining development, agriculture and fisheries, socioeconomic development",DATA; COOR; IMPL; PROP,4,FEW,yes,Conseil decisions are taken unanimously; requires the presence of all members ,UNA,.,yes,"Direction Generale is in charge of synthesizing all information and disseminating it in the basin; Direction Generale contributes to research on industrial development, human resources development, health, education and agriculture",AGRI; HEAL; HRDV; MIN; IND,INS,BRV,no,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,yes,protocol can be amended or revised based on written demand by member to General Director by Conférence des Chefs d'Etat and ratification by all member states,yes,"resources of ALG include member contributions, grants, subsidees, income, loans",budget and member contributions are set by Conseil des Ministres; budget is executed by General Director,yes,contributions from member states are equally shared ,EQL,yes,"Canada, France, AfDB, Banque Arabe pour le développement économique en Afrique, Islamic Development Bank, Banque Ouest Africaine de Développement, Belgium, Denmark, France, Italy, FAO, FED, USAid",.,.,no,n/a,n/a,yes,"partnership with IUCN and various UN institutions, but not officially specified/no specific mechanisms; also participation in regional organizations (CEDEAO, UEMOA)",CEDEAO; IUCN; UEMOA,,http://liptakogourma.org/spip.php?rubrique1 ,,,,
VOLT_NER,NER,ALGX,VOLT,Volta,Autorité de Développement Integré de la Région du Liptako-Gourma,Protocol of Agreement concerning the establishment of the Authority for the Integrated Development of the Liptako-Gourma Region (Protocole d’Accord portant création de l’Autorité de Développement Intégré de la Région du Liptako-Gourma),1970,Africa,Burkina Faso; Mali; Niger,3,Burkina Faso; Mali; Niger,3,Multilateral,Inclusive,"promote development of mineral, energy, hydrological, agricultural and water resources in Liptako-Gourma Region; agriculture and food security; environmental protection; fisheries; hydropower; drought management and protection; drinking water; industry and mining development; social policy",FISH; AGRI; ENVP; DRIN; DMGT; HYDR; COMM; IND; MIN; SOCD,10,MUL,TBR,no,n/a,yes,Authority,Conférence des Chefs d'Etat; Conseil des Ministres; Direction Générale; Comités Techniques Sectoriels; Comités Nationaux de Suivi des Activités de l'Autorité,MHS; CON; SEC; WEG; NAC,5,MUL,yes,"information/data collection and centralization of data resources; harmonization and integration of programs and projects; research on industrial and mining development, agriculture and fisheries, socioeconomic development",DATA; COOR; IMPL; PROP,4,FEW,yes,Conseil decisions are taken unanimously; requires the presence of all members ,UNA,.,yes,"Direction Generale is in charge of synthesizing all information and disseminating it in the basin; Direction Generale contributes to research on industrial development, human resources development, health, education and agriculture",AGRI; HEAL; HRDV; MIN; IND,INS,BRV,no,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,yes,protocol can be amended or revised based on written demand by member to General Director by Conférence des Chefs d'Etat and ratification by all member states,yes,"resources of ALG include member contributions, grants, subsidees, income, loans",budget and member contributions are set by Conseil des Ministres; budget is executed by General Director,yes,contributions from member states are equally shared ,EQL,yes,"Canada, France, AfDB, Banque Arabe pour le développement économique en Afrique, Islamic Development Bank, Banque Ouest Africaine de Développement, Belgium, Denmark, France, Italy, FAO, FED, USAid",.,.,no,n/a,n/a,yes,"partnership with IUCN and various UN institutions, but not officially specified/no specific mechanisms; also participation in regional organizations (CEDEAO, UEMOA)",CEDEAO; IUCN; UEMOA,,http://liptakogourma.org/spip.php?rubrique1 ,,,,
NGER_BFA,BFA,ALGX,NGER,Niger,Autorité de Développement Integré de la Région du Liptako-Gourma,Protocol of Agreement concerning the establishment of the Authority for the Integrated Development of the Liptako-Gourma Region (Protocole d’Accord portant création de l’Autorité de Développement Intégré de la Région du Liptako-Gourma),1970,Africa,Burkina Faso; Mali; Niger,3,Burkina Faso; Mali; Niger,3,Multilateral,Inclusive,"promote development of mineral, energy, hydrological, agricultural and water resources in Liptako-Gourma Region; agriculture and food security; environmental protection; fisheries; hydropower; drought management and protection; drinking water; industry and mining development; social policy",FISH; AGRI; ENVP; DRIN; DMGT; HYDR; COMM; IND; MIN; SOCD,10,MUL,TBR,no,n/a,yes,Authority,Conférence des Chefs d'Etat; Conseil des Ministres; Direction Générale; Comités Techniques Sectoriels; Comités Nationaux de Suivi des Activités de l'Autorité,MHS; CON; SEC; WEG; NAC,5,MUL,yes,"information/data collection and centralization of data resources; harmonization and integration of programs and projects; research on industrial and mining development, agriculture and fisheries, socioeconomic development",DATA; COOR; IMPL; PROP,4,FEW,yes,Conseil decisions are taken unanimously; requires the presence of all members ,UNA,.,yes,"Direction Generale is in charge of synthesizing all information and disseminating it in the basin; Direction Generale contributes to research on industrial development, human resources development, health, education and agriculture",AGRI; HEAL; HRDV; MIN; IND,INS,BRV,no,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,yes,protocol can be amended or revised based on written demand by member to General Director by Conférence des Chefs d'Etat and ratification by all member states,yes,"resources of ALG include member contributions, grants, subsidees, income, loans",budget and member contributions are set by Conseil des Ministres; budget is executed by General Director,yes,contributions from member states are equally shared ,EQL,yes,"Canada, France, AfDB, Banque Arabe pour le développement économique en Afrique, Islamic Development Bank, Banque Ouest Africaine de Développement, Belgium, Denmark, France, Italy, FAO, FED, USAid",.,.,no,n/a,n/a,yes,"partnership with IUCN and various UN institutions, but not officially specified/no specific mechanisms; also participation in regional organizations (CEDEAO, UEMOA)",CEDEAO; IUCN; UEMOA,,http://liptakogourma.org/spip.php?rubrique1 ,,,,
NGER_MLI,MLI,ALGX,NGER,Niger,Autorité de Développement Integré de la Région du Liptako-Gourma,Protocol of Agreement concerning the establishment of the Authority for the Integrated Development of the Liptako-Gourma Region (Protocole d’Accord portant création de l’Autorité de Développement Intégré de la Région du Liptako-Gourma),1970,Africa,Burkina Faso; Mali; Niger,3,Burkina Faso; Mali; Niger,3,Multilateral,Inclusive,"promote development of mineral, energy, hydrological, agricultural and water resources in Liptako-Gourma Region; agriculture and food security; environmental protection; fisheries; hydropower; drought management and protection; drinking water; industry and mining development; social policy",FISH; AGRI; ENVP; DRIN; DMGT; HYDR; COMM; IND; MIN; SOCD,10,MUL,TBR,no,n/a,yes,Authority,Conférence des Chefs d'Etat; Conseil des Ministres; Direction Générale; Comités Techniques Sectoriels; Comités Nationaux de Suivi des Activités de l'Autorité,MHS; CON; SEC; WEG; NAC,5,MUL,yes,"information/data collection and centralization of data resources; harmonization and integration of programs and projects; research on industrial and mining development, agriculture and fisheries, socioeconomic development",DATA; COOR; IMPL; PROP,4,FEW,yes,Conseil decisions are taken unanimously; requires the presence of all members ,UNA,.,yes,"Direction Generale is in charge of synthesizing all information and disseminating it in the basin; Direction Generale contributes to research on industrial development, human resources development, health, education and agriculture",AGRI; HEAL; HRDV; MIN; IND,INS,BRV,no,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,yes,protocol can be amended or revised based on written demand by member to General Director by Conférence des Chefs d'Etat and ratification by all member states,yes,"resources of ALG include member contributions, grants, subsidees, income, loans",budget and member contributions are set by Conseil des Ministres; budget is executed by General Director,yes,contributions from member states are equally shared ,EQL,yes,"Canada, France, AfDB, Banque Arabe pour le développement économique en Afrique, Islamic Development Bank, Banque Ouest Africaine de Développement, Belgium, Denmark, France, Italy, FAO, FED, USAid",.,.,no,n/a,n/a,yes,"partnership with IUCN and various UN institutions, but not officially specified/no specific mechanisms; also participation in regional organizations (CEDEAO, UEMOA)",CEDEAO; IUCN; UEMOA,,http://liptakogourma.org/spip.php?rubrique1 ,,,,
NGER_NER,NER,ALGX,NGER,Niger,Autorité de Développement Integré de la Région du Liptako-Gourma,Protocol of Agreement concerning the establishment of the Authority for the Integrated Development of the Liptako-Gourma Region (Protocole d’Accord portant création de l’Autorité de Développement Intégré de la Région du Liptako-Gourma),1970,Africa,Burkina Faso; Mali; Niger,3,Burkina Faso; Mali; Niger,3,Multilateral,Inclusive,"promote development of mineral, energy, hydrological, agricultural and water resources in Liptako-Gourma Region; agriculture and food security; environmental protection; fisheries; hydropower; drought management and protection; drinking water; industry and mining development; social policy",FISH; AGRI; ENVP; DRIN; DMGT; HYDR; COMM; IND; MIN; SOCD,10,MUL,TBR,no,n/a,yes,Authority,Conférence des Chefs d'Etat; Conseil des Ministres; Direction Générale; Comités Techniques Sectoriels; Comités Nationaux de Suivi des Activités de l'Autorité,MHS; CON; SEC; WEG; NAC,5,MUL,yes,"information/data collection and centralization of data resources; harmonization and integration of programs and projects; research on industrial and mining development, agriculture and fisheries, socioeconomic development",DATA; COOR; IMPL; PROP,4,FEW,yes,Conseil decisions are taken unanimously; requires the presence of all members ,UNA,.,yes,"Direction Generale is in charge of synthesizing all information and disseminating it in the basin; Direction Generale contributes to research on industrial development, human resources development, health, education and agriculture",AGRI; HEAL; HRDV; MIN; IND,INS,BRV,no,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,yes,protocol can be amended or revised based on written demand by member to General Director by Conférence des Chefs d'Etat and ratification by all member states,yes,"resources of ALG include member contributions, grants, subsidees, income, loans",budget and member contributions are set by Conseil des Ministres; budget is executed by General Director,yes,contributions from member states are equally shared ,EQL,yes,"Canada, France, AfDB, Banque Arabe pour le développement économique en Afrique, Islamic Development Bank, Banque Ouest Africaine de Développement, Belgium, Denmark, France, Italy, FAO, FED, USAid",.,.,no,n/a,n/a,yes,"partnership with IUCN and various UN institutions, but not officially specified/no specific mechanisms; also participation in regional organizations (CEDEAO, UEMOA)",CEDEAO; IUCN; UEMOA,,http://liptakogourma.org/spip.php?rubrique1 ,,,,
AMUR_CHN,CHN,ARBC,AMUR,Amur,Amur River Basin Coordination Committee,.,2004,Asia,China; Mongolia; North Korea; Russia,4,China; Mongolia; Russia,3,Multilateral,Non-inclusive,coordinationn of environmental protection; joint research on environmental issues in Amur Basin,ENVP; RES,2,FEW,TRV,no,n/a,.,Commission,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,no,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,.,.,no,n/a,n/a,no,n/a,n/a,.,.,.,.,.,.,.,.,.,.,,n/a,,,,
AMUR_MNG,MNG,ARBC,AMUR,Amur,Amur River Basin Coordination Committee,.,2004,Asia,China; Mongolia; North Korea; Russia,4,China; Mongolia; Russia,3,Multilateral,Non-inclusive,coordinationn of environmental protection; joint research on environmental issues in Amur Basin,ENVP; RES,2,FEW,TRV,no,n/a,.,Commission,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,no,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,.,.,no,n/a,n/a,no,n/a,n/a,.,.,.,.,.,.,.,.,.,.,,n/a,,,,
AMUR_RUS,RUS,ARBC,AMUR,Amur,Amur River Basin Coordination Committee,.,2004,Asia,China; Mongolia; North Korea; Russia,4,China; Mongolia; Russia,3,Multilateral,Non-inclusive,coordinationn of environmental protection; joint research on environmental issues in Amur Basin,ENVP; RES,2,FEW,TRV,no,n/a,.,Commission,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,no,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,.,.,no,n/a,n/a,no,n/a,n/a,.,.,.,.,.,.,.,.,.,.,,n/a,,,,
ARAL_KAZ,KAZ,ASBP,ARAL,Aral,Aral Sea Basin Programme,n/a,1994,Asia,Afghanistan; China; Kazakhastan; Kyrgyztan; Pakistan; Tatjikistan; Turkmenistan; Uzbekistan,8,Kazakhastan; Kyrgyztan; Tatjikistan; Turkmenistan; Uzbekistan,5,Multilateral,Non-inclusive,"capacity building; socioeconomic development and poverty alleviation; implementation of projects related to stabilization of Aral Sea at sustainable level; socio-economic development of affected areas; strategy and management of water resources of Amu Darya and Syr Darya, installation and strengthening of institutions for planning and implementing
measures",HRDV; ENVP; SOCD; QUAN,4,FEW,TRV,no,n/a,no,Committee,none,n/a,0,n/a,no,n/a,n/a,n/a,n/a,no,n/a,n/a,no,.,.,.,.,.,no,n/a,n/a,n/a,n/a,n/a,.,.,.,.,.,no,n/a,yes,donor funded,n/a,no,n/a,n/a,yes,GEF; Netherlands; Sweden; World Bank,no,n/a,.,.,.,.,.,.,,http://www.ec-ifas.org/pbam/,,,,
