Entry ID,BCCODE,BCODE,Basin Name,CCODE,Country_Name,2016Update ID,2010_TREATY_DocID,TFDDID,Unified Primary 2016 Treaty ID,Primary2010_Treaty_DocID,PrimaryTFDDID, TFDDID Linkage,DocID Linkage,DocumentName,DateSigned,Signatories,DocType,Format,Source,Notes,LocationSigned,Region_Continent,PRIMARY_COUNTRY_SUBREGION,Treaty Basin(s),TFDD Basin(s),NumberParties,AdditionalComments,MinorAgreement,Reference to Precedence,Agreement Purpose,GeoScope,Issue Area,RBO,Infrastructure,Allocation,Alloc_Article,Alloc_Text,Hydropower,Hydro_Article,Hydropower_Text,Irrigation,Irrigation_Article,Groundwater,Groundwater_Article,Environment,Enviro_Article,Equity_Sustainability,Equity_Article,Equity_Sustainability_Text,LocalNeeds,LocalNeeds_Article,Construct_Right,Construct_Article,Construct_Ban,ConstructBan_Article,PriorNotification,PriorNotif_Article,Navigation,Nav_Article,Fishing,Fish_Article,BorderIssues,Border_Article,TerritorialIssues,Territorial_Article,NonWater Linkage,NonWater_Article,NonWaterLink_Comments,NonWater_Embed,Uncertainty Explicit,UncertExplicit_Article,VarMgmt,VarMgmt_Article,NeedsVariability,NeedsVar_Article,AltScenarios,AltScen_Article,PredictionModel,PredictionModel_Article,JointMgmt,JointMgmt_Article,CommName,TechCoop,TechCoop_Article,InfoExchange,InfoExchange_Article,Monitoring,Monitoring_Article,Conflict Resolution Mechanism,ConflictRes_Article,AgreeFinance,AgreeFinance_Article,StakeholderParticip,Stakeholder_Article,Consultations,Consulations_Article,Compensation,Compensation_Article,National_Prog_Law,NationalLaws_Article,NonSig_Riparians,NonSigInterests_Article,People_Interests,PeoplesInterests_Article,AmendMech,AmendMech_Article,Precedent_NotEst,PrecedentNotEst_Article,Precedent_Est,PrecedentEst_Article,Enforcement,EnforceMech,WaterDiv_Method,Basin_Name
881,JORD_SYR,JORD,Jordan,SYR,Syria,646,1095,449,0,,,0,0,Agreement concerning the utilization of the Yarmuk waters (with Annex). Signed at Amman on 3 September 1987,9/3/1987,"Syria, Jordan",-1,,,,Amman,Asia,North Africa/Middle East,Yarmuk,Jordan,1,"Annex includes table of dams of Yarmuk waters, their storage levels and capacities.",N.A.,0,0,0,"Water Quantity, Hydro-power/Hydro-electricity",N.A.,N.A.,1,,Syria has right to all waters (including springs) in its territory except those welling up above the dam below the 250-meter level. Jordan has right to use overflow from Wahdah dam reservoir to generate hydropower. A minimum flow is set from the dam for Jordan's use,Y,,75% hydropower to Syria; 25% hydropower to Jordan.,N.A.,,N.A.,,-1,,N.A.,,,N.A.,,N.A.,,N.A.,,0,,N.A.,,N.A.,,N.A.,,N.A.,,None,,,N.A.,-1,,-1,,N.A.,,N.A.,,N.A.,,N.A.,,Joint Syria-Jordan Commission,N.A.,,N.A.,,N,,1,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N,None,None,Jordan
877,JORD_JOR,JORD,Jordan,JOR,Jordan,646,1095,449,0,,,0,0,Agreement concerning the utilization of the Yarmuk waters (with Annex). Signed at Amman on 3 September 1987,9/3/1987,"Syria, Jordan",-1,,,,Amman,Asia,North Africa/Middle East,Yarmuk,Jordan,1,"Annex includes table of dams of Yarmuk waters, their storage levels and capacities.",N.A.,0,0,0,"Water Quantity, Hydro-power/Hydro-electricity",N.A.,N.A.,1,,Syria has right to all waters (including springs) in its territory except those welling up above the dam below the 250-meter level. Jordan has right to use overflow from Wahdah dam reservoir to generate hydropower. A minimum flow is set from the dam for Jordan's use,Y,,75% hydropower to Syria; 25% hydropower to Jordan.,N.A.,,N.A.,,-1,,N.A.,,,N.A.,,N.A.,,N.A.,,0,,N.A.,,N.A.,,N.A.,,N.A.,,None,,,N.A.,-1,,-1,,N.A.,,N.A.,,N.A.,,N.A.,,Joint Syria-Jordan Commission,N.A.,,N.A.,,N,,1,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N,None,None,Jordan
1034,LPTA_URY,LPTA,La Plata,URY,Uruguay,645,1094,448,0,,,0,0,Treaty of the River Plate Basin,8/14/1970,"Argentina, Bolivia, Brazil, Paraguay, Uruguay",-1,,,,Brasilia,South America,South America,La Plata,La Plata,2,Document establishes Intergovernmental Co-ordinating Committee,N.A.,0,0,0,Joint Management,N.A.,N.A.,-1,,,N.A.,,,N.A.,,N.A.,,-1,,N.A.,,,N.A.,,N.A.,,N.A.,,0,,N.A.,,N.A.,,N.A.,,N.A.,,None,,,N.A.,-1,,-1,,N.A.,,N.A.,,N.A.,,N.A.,,Intergovernmental Co-ordinating Committee,N.A.,,Y,,N,,0,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N,None,None,La Plata
1020,LPTA_PRY,LPTA,La Plata,PRY,Paraguay,645,1094,448,0,,,0,0,Treaty of the River Plate Basin,8/14/1970,"Argentina, Bolivia, Brazil, Paraguay, Uruguay",-1,,,,Brasilia,South America,South America,La Plata,La Plata,2,Document establishes Intergovernmental Co-ordinating Committee,N.A.,0,0,0,Joint Management,N.A.,N.A.,-1,,,N.A.,,,N.A.,,N.A.,,-1,,N.A.,,,N.A.,,N.A.,,N.A.,,0,,N.A.,,N.A.,,N.A.,,N.A.,,None,,,N.A.,-1,,-1,,N.A.,,N.A.,,N.A.,,N.A.,,Intergovernmental Co-ordinating Committee,N.A.,,Y,,N,,0,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N,None,None,La Plata
1006,LPTA_BRA,LPTA,La Plata,BRA,Brazil,645,1094,448,0,,,0,0,Treaty of the River Plate Basin,8/14/1970,"Argentina, Bolivia, Brazil, Paraguay, Uruguay",-1,,,,Brasilia,South America,South America,La Plata,La Plata,2,Document establishes Intergovernmental Co-ordinating Committee,N.A.,0,0,0,Joint Management,N.A.,N.A.,-1,,,N.A.,,,N.A.,,N.A.,,-1,,N.A.,,,N.A.,,N.A.,,N.A.,,0,,N.A.,,N.A.,,N.A.,,N.A.,,None,,,N.A.,-1,,-1,,N.A.,,N.A.,,N.A.,,N.A.,,Intergovernmental Co-ordinating Committee,N.A.,,Y,,N,,0,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N,None,None,La Plata
1003,LPTA_BOL,LPTA,La Plata,BOL,Bolivia,645,1094,448,0,,,0,0,Treaty of the River Plate Basin,8/14/1970,"Argentina, Bolivia, Brazil, Paraguay, Uruguay",-1,,,,Brasilia,South America,South America,La Plata,La Plata,2,Document establishes Intergovernmental Co-ordinating Committee,N.A.,0,0,0,Joint Management,N.A.,N.A.,-1,,,N.A.,,,N.A.,,N.A.,,-1,,N.A.,,,N.A.,,N.A.,,N.A.,,0,,N.A.,,N.A.,,N.A.,,N.A.,,None,,,N.A.,-1,,-1,,N.A.,,N.A.,,N.A.,,N.A.,,Intergovernmental Co-ordinating Committee,N.A.,,Y,,N,,0,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N,None,None,La Plata
983,LPTA_ARG,LPTA,La Plata,ARG,Argentina,645,1094,448,0,,,0,0,Treaty of the River Plate Basin,8/14/1970,"Argentina, Bolivia, Brazil, Paraguay, Uruguay",-1,,,,Brasilia,South America,South America,La Plata,La Plata,2,Document establishes Intergovernmental Co-ordinating Committee,N.A.,0,0,0,Joint Management,N.A.,N.A.,-1,,,N.A.,,,N.A.,,N.A.,,-1,,N.A.,,,N.A.,,N.A.,,N.A.,,0,,N.A.,,N.A.,,N.A.,,N.A.,,None,,,N.A.,-1,,-1,,N.A.,,N.A.,,N.A.,,N.A.,,Intergovernmental Co-ordinating Committee,N.A.,,Y,,N,,0,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N,None,None,La Plata
2107,UNKN_UKR,UNKN,Unknown,UKR,Ukraine,644,1093,445,0,,,0,0,Agreement between Ukraine and Libya on cooperation in the sphere of geological exploration,10/14/2003,"Ukraine, Libyan Arab Jamahirya",-1,,http://faolex.fao.org/cgi-bin/faolex.exe?database=faolex&search_type=query&table=result&query=LEX-FAOC065680&format_name=@ERALL&lang=eng,,N.A.,Africa,Former Soviet Union,Groundwater,Frontier or shared waters,1,"The cooperation shall be carried out in the following fields: (a) regional geological exploration, prospecting and extraction of minerals and groundwater; (b) well sinking; (c) exploration of oilfields and gas fields; (d) exchange of experts and geological information; (e) symposia, conferences and seminars; (f) laboratory and technological research (art. 1).",N.A.,0,0,0,"Technical Cooperation/Assistance, Infrastructure/Development",N.A.,N.A.,0,,,N.A.,,,N.A.,,N.A.,,-1,,N.A.,,,N.A.,,N.A.,,N.A.,,0,,N.A.,,N.A.,,N.A.,,N.A.,,None,,,N.A.,-1,,-1,,N.A.,,N.A.,,N.A.,,N.A.,,,N.A.,,Y,,N,,0,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N,None,None,Unknown
2022,UNKN_LBY,UNKN,Unknown,LBY,Libya,644,1093,445,0,,,0,0,Agreement between Ukraine and Libya on cooperation in the sphere of geological exploration,10/14/2003,"Ukraine, Libyan Arab Jamahirya",-1,,http://faolex.fao.org/cgi-bin/faolex.exe?database=faolex&search_type=query&table=result&query=LEX-FAOC065680&format_name=@ERALL&lang=eng,,N.A.,Africa,Sub-Saharan Africa,Groundwater,Frontier or shared waters,1,"The cooperation shall be carried out in the following fields: (a) regional geological exploration, prospecting and extraction of minerals and groundwater; (b) well sinking; (c) exploration of oilfields and gas fields; (d) exchange of experts and geological information; (e) symposia, conferences and seminars; (f) laboratory and technological research (art. 1).",N.A.,0,0,0,"Technical Cooperation/Assistance, Infrastructure/Development",N.A.,N.A.,0,,,N.A.,,,N.A.,,N.A.,,-1,,N.A.,,,N.A.,,N.A.,,N.A.,,0,,N.A.,,N.A.,,N.A.,,N.A.,,None,,,N.A.,-1,,-1,,N.A.,,N.A.,,N.A.,,N.A.,,,N.A.,,Y,,N,,0,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N.A.,,N,None,None,Unknown
77,ASIX_SYR,ASIX,Asi/Orontes,SYR,Syria,643,1092,444,643,1092,444,643,643,Agreement Annex between Lebanon and Syria concerning the distribution of water of the Al-Asi River rising in Lebanon.,12/12/2002,"Lebanon, Syrian Arab Republic",4,Electronic,http://faolex.fao.org/,,N.A.,Asia,North Africa/Middle East,Al-Asi (Great Southern River),Asi/Orontes (An Nahr Al Kabir),1,"The basins of Alyamouna, Marjahein, Jibab Alhumur and Arghash are to be considered closed and the exploitation of these basins shall be in the quantity of the annual renewable water resources for each basin. Concerning the basin of Allabwa, Lebanon may derive benefit and utilize water resources of Allabwa during the irrigation period, which extends from the end of April to the middle of October. Furthermore, the Lebanese villages (Allabwa, Amhaz, Attawfiqeyya, Al-Ayn, Annaby Othman, Saboogha, Alkhareeba, Halabta and Jaboola) may derive benefit and utilize these waters as drinking water.",N,"4, 5","1, 3",5,Water Quantity,N,Y,1.5,3,,N,,,Y,6,N,,2,5,Y,preamble,reasonable and equitable sharing,N,,N,,N,,1,,N,,N,,Y,11,N,,None,,,N,1,4,0,,N,,Y,12,N,,Y,7,,N,,N,,N,,0,,Y,10,N,,Y,8,N,,N,,N,,N,,Y,14,N,,N,,N.A.,N.A.,None,Asi/Orontes
