Basin,Country,Description,DateSigned,Signatories,IssueArea
Aral Sea,Afghanistan,Protocol between the Union of Soviet Socialist Republics and Afghanistan on the joint execution of works for the integrated utilization of the water resources in the frontier section of the Amudarya river,25/06/1958,Union of Soviet Socialist Republics  Afghanistan,N.A.
Helmand,Afghanistan,Terms of reference of the Helmand River Delta Commission and an interpretive statement relative thereto  agreed by conferees of Afghanistan and Iran,07/09/1950,Afganistan  Iran,Water Quantity
Indus,Afghanistan,Treaty between the government of Afghanistan and His Britannic Majesty's Government for the establishment of neighbourly relations,22/11/1921,Afganistan  Great Britain,Water Quantity  Navigation
Danube,Albania,Agreement between the government of the Federal People's Republic of Yugoslavia and the government of the People's Republic of Albania concerning water economy questions  together with the statue of the Yugoslav-Albanian Water economic commission and with he protocol concerning fishing in frontier lakes and rivers.,05/12/1956,Albania  Yugoslavia  People's Republic of,Hydro-power/Hydro-electricity
Lake Prespa,Albania,Agreement between the Government of the Hellenic Republic and the Government of the Republic of Albania on the establishment of the permanent Greek-Albanian commission on transboundary freshwater issues,03/04/2003,GREECE  ALBANIA,Joint Management  Technical Cooperation/Assistance
Vijose,Albania,Agreement between the Government of the Hellenic Republic and the Government of the Republic of Albania on the establishment of the permanent Greek-Albanian commission on transboundary freshwater issues,03/04/2003,GREECE  ALBANIA,Joint Management  Technical Cooperation/Assistance
Drin,Albania,Agreement between the council of ministers of the Republic of Albania and the Government of the Repulic of Macedonia for the protection and sustainable development of Lake Ohrid and its watershed,17/06/2004,ALBANIA  Macedonia  the former Yugoslav Republic of,Water Quality  Economic Development  Joint Management
Niger,Algeria,Agreement between France and Great Britain relative to the frontier between French and British possessions from the Gulf of Guinea to the Niger,19/10/1906,Great Britain  France,Border Issues
Niger,Algeria,Revised financial procedures of the Niger Basin Authority  done at Ndjamena,27/10/1987,Algeria  Benin  Cameroon  Chad  Guinea  Cote D'Ivoire  Mali  Niger  Nigeria  Burkina Faso,Joint Management
General,Algeria,African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
