Basin,Country 1,Country 2,Description,Scale
NILE,EGY,INT,Egypt lays to four foundation stone of Aswan hydroelectric plant,3
Indus,IND,PAK,"The ""Standstill Agreement"" between India and Pakistan expires and  in the absence of a new agreement  India discontinues the delivery of water to the Dipalpur Canal and the main branches of the Upper Bari Daab Canal.",-3
Indus,IND,PAK,At an Inter-Dominian conference between India and Pakistan held in Delhi on 3-4 May 1948  India agreed to resume the delivery of water to Pakistan through the Dipalpur Canal and the main branches of the Upper Bari Daab Canal.  India maintained  however  that Pakistan could not claim any share of those waters as a matter of right.  An agreement was signed  later referred to at the Delhi Agreement.,3
ROIA,FRA,ITA,Italy and France build dam on Roya River in exchange for ceded land,4
DANUBE,CZS,GBR,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,HUN,YGF,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,HUN,ROM,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,HUN,USR,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,USR,YGF,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,ROM,YGF,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,ROM,USR,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,AUT,YGF,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,AUT,ROM,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,AUT,HUN,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,AUT,CZS,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,HUN,USA,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,CZS,USA,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,ROM,USA,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,GBR,HUN,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,GBR,YGF,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,GBR,ROM,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,GBR,USR,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,USA,YGF,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,USA,USR,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,AUT,GBR,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,AUT,FRA,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,AUT,USA,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,FRA,USR,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,FRA,ROM,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
DANUBE,FRA,YGF,Austria  Czechoslovakia  Great Britain  France  Hungary  Romania  Yugoslavia (former) United States  and Soviet Union meet for Danube conference on administration of Danube River,1
